job_id,company_id,company,location,country,required_skill,experience_level,Z_Score
3757940104,553718,HearingLife,Little River,1,Other,2,0.19014996776322898
3757940025,2192142,Metalcraft of Mayville Inc.,Beaver Dam,1,"Management, Manufacturing",7,0.19014996776322898
3757938019,474443,U.S. Tsubaki Power Transmission LLC,Bessemer,1,Engineering,7,0.19014996776322898
3757938018,18213359,Episcopal Communities Services,Aliso Viejo,1,"Management, Manufacturing",2,0.19014996776322898
3757937004,10515052,Boyd Group Services Inc.,Daytona Beach,2,"Management, Manufacturing",2,0.15507296813294658
3757936167,2915,Acme Markets,Sussex,1,"Sales, Business Development",4,0.19014996776322898
3757936097,18213359,Episcopal Communities Services,Aliso Viejo,1,"Management, Manufacturing",2,0.19014996776322898
3757935384,232541,Sigma Technologies Ltd.,Hammond,1,"Design, Art/Creative, Information Technology",7,0.19014996776322898
3757935111,2073870,Appen,Texas,1,Information Technology,5,0.19014996776322898
3757935026,16223627,Adelphi Medical Staffing LLC,Toms River,1,Health Care Provider,7,0.19014996776322898
3757935025,99500291,Vet Doc Hospitals,St Clair Shores,1,Health Care Provider,4,0.19014996776322898
3757935012,18583501,Stealth Startup,New York,1,Information Technology,3,0.19014996776322898
3757935011,82556159,My Travel Connection,Raleigh,1,"Sales, Business Development",2,0.19014996776322898
3757935010,82556159,My Travel Connection,Hartford,1,"Sales, Business Development",2,0.19014996776322898
3757935003,18583501,Stealth Startup,Minden,1,"Sales, Business Development",4,0.19014996776322898
3757935001,73013724,J. Galt,Coeur d'Alene,1,"Sales, Business Development",4,0.19014996776322898
3757934944,18270206,TAL Building Centers,La Grande,1,"Sales, Business Development",7,0.19014996776322898
3757934630,36749,Torrid,Fox River Grove,1,"Sales, Customer Service",4,0.19014996776322898
3757934539,2192142,Metalcraft of Mayville Inc.,Mayville,1,"Management, Manufacturing",7,0.19014996776322898
3757934423,18213359,Episcopal Communities Services,Altadena,1,"Management, Manufacturing",2,0.19014996776322898
3757934347,10515052,Boyd Group Services Inc.,Waukesha,2,"Engineering, Information Technology",2,0.15507296813294658
3757934327,99500291,Vet Doc Hospitals,Denver,1,Health Care Provider,4,0.19014996776322898
3757934320,1997035,NOVALINK SOLUTIONS LLC,Nashville,1,"Research, Analyst, Information Technology",4,0.19014996776322898
3757934319,18391435,headhuntress.com,Orlando,1,"Engineering, Information Technology",4,0.19014996776322898
3757934318,6577380,Conexwest,Oakland,1,"Management, Manufacturing",4,0.19014996776322898
3757934312,18583501,Stealth Startup,Minden,1,"Sales, Business Development",3,0.19014996776322898
3757934299,213591,The Program,Portland,1,"Design, Art/Creative, Information Technology",7,0.19014996776322898
3757934287,91313799,Stealth,Florence,1,Engineering,4,0.19014996776322898
3757934282,91313799,Stealth,Florence,1,Engineering,4,0.19014996776322898
3757934281,2238,Danone,Broomfield,3,"Strategy/Planning, General Business, Management",4,0.5002959040291222
3757934267,28352,CoreMark International,Swedesboro,1,"Management, Manufacturing",2,0.19014996776322898
3757934264,73013724,J. Galt,Richmond,1,"Sales, Business Development",4,0.19014996776322898
